Id,Nombre,Tipo,precio
74138,Baleadas hondurenias,Plato principal,49.3
74133,Tacos de carne molida,Plato principal,91.1
74154,Burritos nortenios,Entrada,31.0
74146,Croquetas de pollo caseras de la abuela,Entrada,42.4
74081,Masa  empanadas fritas,Entrada,80.6
74068,Hummus de zanahoria,Entrada,24.9
74056,Tomates cherry confitados,Acompanamiento,95.3
74055,Ceviche de atun con mango,Entrada,85.0
74043,Edamame,Entrada,57.4
73727,Bechamel  croquetas,Entrada,57.3
74020,Farofa brasilenia,Acompanamiento,19.6
73994,Tarta de choclo,Plato principal,67.2
73934,Empanadillas de espinacas,Entrada,2.0
73895,15   saludables y faciles,?,66.1
73919,Muhammara,Entrada,56.6
73914,Croquetas de boletus,Entrada,97.5
73907,Ceviche de pota,Plato principal,37.6
73532,20 entrantes   originales y faciles,?,8.4
73878,Nueces caramelizadas,Acompanamiento,47.0
73817,Quesadillas de flor de calabaza,Plato principal,72.3
73818,Tacos campechanos,Entrada,74.0
73816,Enchiladas potosinas,Plato principal,50.4
73815,Ceviche de sierra,Entrada,65.7
73814,Ceviche de jaiba,Entrada,50.7
73006,Enchiladas mineras,Entrada,35.0
73799,Sarmale,Plato principal,40.0
73758,Quiche de jamon y queso,Plato principal,59.7
73756,Quiche de Champiniones,Plato principal,92.3
73007,Enchiladas rancheras,Plato principal,76.4
73580,Ceviche de carne,Plato principal,25.0
73491,Ceviche de pato,Plato principal,14.8
73431,Ceviche de cochayuyo,Entrada,61.0
73429,Mandocas venezolanas,Entrada,73.2
73400,Arepas de coco,Postre,60.0
73360,Ceviche de salchicha,Entrada,32.9
73314,Chipirones a la andaluza,Entrada,95.9
73269,Masa  tartas saladas,Plato principal,57.2
73095,30   faciles y elegantes,?,44.7
72928,Tacos de pollo mexicanos,Entrada,18.7
72927,Ceviche de atun,Entrada,33.0
72924,Tacos de Jamaica,Entrada,6.3
72923,Chimichanga mexicana,Entrada,65.9
72692,Croquetas de acelga al horno,Entrada,55.9
72458,Arepas de brocoli,Entrada,99.0
72312,Ceviche vegano,Entrada,92.7
72311,Croquetas de arroz al horno,Entrada,9.7
72294,Quiche Lorraine vegana,Entrada,98.3
72247,Empanadillas de bonito caseras,Entrada,29.2
71662,Fiambre aleman paso a paso,Entrada,47.5
67262,Jamon con chorreras,Entrada,81.7
72126,Strudel de verduras,Entrada,18.2
72103,Croquetas de pescado,Entrada,66.0
66700,Tamales vallunos,Entrada,96.3
66391,Canastitas de jamon y queso,Entrada,33.7
72020,Esparragos al horno,Entrada,52.9
64910,Empanada de pollo gallega,Entrada,95.6
66092,Trenza de hojaldre salada,Entrada,84.1
66048,Fajitas de pollo a la BBQ,Entrada,8.3
71842,Burritos de carne y queso,Entrada,20.6
66009,Tarta de palmitos,Entrada,26.7
71756,Crepes de pollo gratinados,Plato principal,70.5
65997,Melocotones rellenos,Entrada,79.3
65881,Hallacas venezolanas,Plato principal,68.4
63203,Arrollado de pionono salado,Entrada,58.4
71632,Rollitos de salmon ahumado rellenos de ensaladilla,Entrada,41.8
71629,Tarta de salmon,Entrada,93.4
71598,Champiniones rellenos de atun,Plato Principal,22.1
71586,Champiniones rellenos de gambas,Plato Principal,90.1
71578,Tosta de gulas y gambas,Entrada,63.1
71577,Rollitos de jamon y queso,Entrada,4.4
71547,Empanadillas de carne al horno,Entrada,92.3
65812,Croquetas de queso blanco,Entrada,67.3
65679,Quiche sin gluten ni lactosa,Entrada,85.6
65660,Empanada de mai­z,Entrada,94.4
65659,Ceviche de corvina,Plato principal,78.4
71354,Pata de mejillones,Acompanamiento,70.3
65485,Champiniones rellenos de queso,Entrada,17.6
71220,Setas con jamon,Entrada,24.9
70948,Quiche con base de boniato,Entrada,89.4
